snapshot,bids_price,asks_price,timestamps,simple_mid_price,mid_price,spread,imbalance
24,76861.48,76861.49,18:07:06,76861.485,76861.48840010357,0.010000000009313226,0.2859794613796402
25,76865.85,76865.86,18:07:11,76865.85500000001,76865.85867067166,0.00999999999476131,0.7434238066060033
26,76866.45,76866.46,18:07:16,76866.455,76866.45939850563,0.010000000009313226,0.7149195195367534
27,76866.45,76866.46,18:07:21,76866.455,76866.45940496892,0.010000000009313226,0.7012602036123712
28,76868.58,76868.59,18:07:26,76868.58499999999,76868.58825895928,0.00999999999476131,0.6408614432716458
29,76868.58,76868.59,18:07:31,76868.58499999999,76868.5883944479,0.00999999999476131,0.6730196316972458
30,76866.45,76866.46,18:07:36,76866.455,76866.45056684384,0.010000000009313226,-0.3200753295668553
31,76857.09,76857.1,18:07:41,76857.095,76857.0906175502,0.010000000009313226,-0.4664618626031661
32,76856.76,76856.77,18:07:46,76856.765,76856.7611864698,0.010000000009313226,-0.4139264201338835
33,76856.76,76856.77,18:07:51,76856.765,76856.76080194605,0.010000000009313226,-0.544766540379489
34,76856.76,76856.77,18:07:56,76856.765,76856.7646354538,0.010000000009313226,-0.2361452689492693
35,76856.76,76856.77,18:08:01,76856.765,76856.7618113734,0.010000000009313226,-0.2930455261354459
36,76849.4,76849.41,18:08:06,76849.405,76849.40022994459,0.010000000009313226,-0.5022844945000624
37,76849.4,76849.41,18:08:11,76849.405,76849.40267560388,0.010000000009313226,-0.19746623667332044
38,76849.4,76849.41,18:08:16,76849.405,76849.40759088048,0.010000000009313226,0.4732261580256607
39,76850.12,76850.13,18:08:21,76850.125,76850.12939184177,0.010000000009313226,0.4532452106112754
40,76855.69,76855.7,18:08:26,76855.695,76855.69815168546,0.00999999999476131,0.2719026228166359
41,76851.11,76851.12,18:08:31,76851.11499999999,76851.11114796842,0.00999999999476131,-0.22833526096655687
42,76851.11,76851.12,18:08:36,76851.11499999999,76851.11145520216,0.00999999999476131,-0.19497611002870002
43,76849.35,76849.36,18:08:41,76849.35500000001,76849.35035731475,0.00999999999476131,-0.5013928843064904
44,76838.48,76838.49,18:08:46,76838.485,76838.48104748732,0.010000000009313226,-0.611601700700876
45,76838.48,76838.49,18:08:51,76838.485,76838.48319865887,0.010000000009313226,-0.27163170479639365
46,76838.48,76838.49,18:08:56,76838.485,76838.48311962445,0.010000000009313226,-0.2779082228481145
47,76838.48,76838.49,18:09:01,76838.485,76838.4822868075,0.010000000009313226,-0.281359821956239
48,76838.48,76838.49,18:09:06,76838.485,76838.48306018567,0.010000000009313226,-0.18364152809725787
49,76838.48,76838.49,18:09:11,76838.485,76838.48316770374,0.010000000009313226,-0.3023184737415362
50,76838.48,76838.49,18:09:16,76838.485,76838.48005088301,0.010000000009313226,-0.3663247153105359
