snapshot,timestamp,mid_price,spread,imbalance
1,2026-05-21 14:13:00,77798.30451907148,0.00999999999476131,0.1831628246747706
2,2026-05-21 14:13:05,77788.86862183153,0.00999999999476131,-0.7218694633705514
3,2026-05-21 14:13:10,77786.6583436442,0.010000000009313226,-0.67306234252265
4,2026-05-21 14:13:16,77786.65866031904,0.010000000009313226,-0.7353175056980018
5,2026-05-21 14:13:20,77772.27898855323,0.00999999999476131,-0.772781836774012
6,2026-05-21 14:13:25,77758.34936932941,0.010000000009313226,-0.8726867694620019
7,2026-05-21 14:13:30,77758.34937138301,0.010000000009313226,-0.8730714437678918
8,2026-05-21 14:13:35,77758.34252541624,0.010000000009313226,0.4944574571225109
9,2026-05-21 14:13:40,77758.34004362223,0.010000000009313226,0.990982497848096
10,2026-05-21 14:13:45,77758.34150364726,0.010000000009313226,0.6962498853014043
11,2026-05-21 14:13:50,77762.5763758592,0.00999999999476131,-0.28080626035810896
12,2026-05-21 14:13:55,77762.57321077093,0.00999999999476131,0.3616069957543882
13,2026-05-21 14:14:00,77762.57131746944,0.00999999999476131,0.7377579365079365
14,2026-05-21 14:14:05,77762.5711975685,0.00999999999476131,0.7616027216027217
15,2026-05-21 14:14:10,77762.574172759,0.00999999999476131,0.19663825014276526
16,2026-05-21 14:14:15,77762.57266186559,0.00999999999476131,0.4700024232108135
17,2026-05-21 14:14:20,77762.57006395042,0.00999999999476131,0.9867024725924456
18,2026-05-21 14:14:26,77762.57157165019,0.00999999999476131,0.6869473941798089
19,2026-05-21 14:14:30,77762.57154279706,0.00999999999476131,0.6860205218713165
20,2026-05-21 14:14:35,77762.57357748749,0.00999999999476131,0.3140596015460336
21,2026-05-21 14:14:40,77769.95138054642,0.010000000009313226,0.7277088335330174
22,2026-05-21 14:14:45,77769.95155026072,0.010000000009313226,0.6952300564112546
23,2026-05-21 14:14:51,77769.95862320061,0.010000000009313226,-0.7195647815294772
24,2026-05-21 14:14:55,77769.95862544108,0.010000000009313226,-0.7199186968790275
25,2026-05-21 14:15:00,77769.95876636702,0.010000000009313226,-0.7484428606436857
26,2026-05-21 14:15:06,77769.95053139489,0.010000000009313226,0.888902176512796
27,2026-05-21 14:15:11,77769.95448028413,0.010000000009313226,0.10286307507376238
28,2026-05-21 14:15:15,77773.81522104495,0.010000000009313226,-0.030547170155379968
29,2026-05-21 14:15:20,77773.81333690275,0.010000000009313226,0.3415812300778597
30,2026-05-21 14:15:25,77773.81783068863,0.010000000009313226,-0.5671231655873092
31,2026-05-21 14:15:31,77773.81783996441,0.010000000009313226,-0.5689697682121679
32,2026-05-21 14:15:35,77773.81213770414,0.010000000009313226,0.5702843696583569
33,2026-05-21 14:15:40,77773.81305468499,0.010000000009313226,0.38742595909755256
34,2026-05-21 14:15:45,77773.81608554344,0.010000000009313226,-0.22487314214783902
35,2026-05-21 14:15:50,77769.95759112589,0.010000000009313226,-0.518947394397581
36,2026-05-21 14:15:56,77773.8118282354,0.010000000009313226,0.6397653829191524
37,2026-05-21 14:16:01,77773.8130711076,0.010000000009313226,0.39628398343230375
38,2026-05-21 14:16:05,77773.81515939349,0.010000000009313226,-0.015193669885456533
39,2026-05-21 14:16:10,77758.77229790654,0.00999999999476131,0.5494726681110725
40,2026-05-21 14:16:16,77758.7716566508,0.00999999999476131,0.6672062548455607
41,2026-05-21 14:16:20,77758.77145489247,0.00999999999476131,0.7132468374302411
42,2026-05-21 14:16:25,77758.77120691471,0.00999999999476131,0.7614126442353341
43,2026-05-21 14:16:30,77758.77659320102,0.00999999999476131,-0.3143914077436001
44,2026-05-21 14:16:36,77758.7761511867,0.00999999999476131,-0.2256262701628694
45,2026-05-21 14:16:40,77757.48928805653,0.010000000009313226,-0.8616655406626464
46,2026-05-21 14:16:45,77757.48798217793,0.010000000009313226,-0.6053738372186791
47,2026-05-21 14:16:50,77757.48234892727,0.010000000009313226,0.5302363845215384
48,2026-05-21 14:16:55,77749.16933427996,0.00999999999476131,-0.8684816026487456
49,2026-05-21 14:17:01,77744.78898870078,0.00999999999476131,-0.7621302308802309
50,2026-05-21 14:17:05,77744.78251232067,0.00999999999476131,0.641903829152109
51,2026-05-21 14:17:10,77744.7868064037,0.00999999999476131,-0.35461018063329247
52,2026-05-21 14:17:15,77744.78652090767,0.00999999999476131,-0.29646293283755526
53,2026-05-21 14:17:21,77741.59860704711,0.010000000009313226,-0.7823548795222384
54,2026-05-21 14:17:25,77736.19997711833,0.00999999999476131,-0.9922122763903953
55,2026-05-21 14:17:31,77736.19931906165,0.00999999999476131,-0.8613627096223185
56,2026-05-21 14:17:35,77736.19939127339,0.00999999999476131,-0.8759708884546651
57,2026-05-21 14:17:41,77736.1993005214,0.00999999999476131,-0.8576594145776754
58,2026-05-21 14:17:46,77736.1988575047,0.00999999999476131,-0.7690723490855557
59,2026-05-21 14:17:50,77736.19931419716,0.00999999999476131,-0.8632065881854918
60,2026-05-21 14:17:55,77736.1988140549,0.00999999999476131,-0.7612484490090389
61,2026-05-21 14:18:01,77736.19880102333,0.00999999999476131,-0.7587388308135389
62,2026-05-21 14:18:06,77728.38485053886,0.00999999999476131,0.03567149853222453
63,2026-05-21 14:18:10,77715.00809351422,0.00999999999476131,-0.6322771563247503
64,2026-05-21 14:18:16,77718.00002562774,0.00999999999476131,0.997642708408983
65,2026-05-21 14:18:20,77721.86074170993,0.00999999999476131,0.7788851676227742
66,2026-05-21 14:18:26,77721.86195799673,0.00999999999476131,0.6410144463385805
